,CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count,Income_Class
173,10500,"Albany, GA Metro","Income $200,000 - $249,999",5+ Member HH,79,Upper
174,10500,"Albany, GA Metro","Income $25,000 - $34,999",5+ Member HH,710,Lower
175,10500,"Albany, GA Metro","Income $250,000+",5+ Member HH,131,Upper
176,10500,"Albany, GA Metro","Income $35,000 - $49,999",5+ Member HH,719,Lower
177,10500,"Albany, GA Metro","Income $50,000 - $74,999",5+ Member HH,1955,Middle
178,10500,"Albany, GA Metro","Income $75,000 - $99,999",5+ Member HH,1621,Middle
179,10500,"Albany, GA Metro","Income <$15,000",5+ Member HH,591,Lower
180,10540,"Albany, OR Metro","Income $100,000 - $124,999",1 Member HH,265,Upper
181,10540,"Albany, OR Metro","Income $125,000 - $149,999",1 Member HH,207,Upper
182,10540,"Albany, OR Metro","Income $15,000 - $24,999",1 Member HH,1544,Lower
183,10540,"Albany, OR Metro","Income $150,000 - $174,999",1 Member HH,183,Upper
184,10540,"Albany, OR Metro","Income $175,000 - $199,999",1 Member HH,19,Upper
185,10540,"Albany, OR Metro","Income $200,000 - $249,999",1 Member HH,56,Upper
186,10540,"Albany, OR Metro","Income $25,000 - $34,999",1 Member HH,1375,Middle
187,10540,"Albany, OR Metro","Income $250,000+",1 Member HH,109,Upper
188,10540,"Albany, OR Metro","Income $35,000 - $49,999",1 Member HH,1508,Middle
189,10540,"Albany, OR Metro","Income $50,000 - $74,999",1 Member HH,1322,Middle
190,10540,"Albany, OR Metro","Income $75,000 - $99,999",1 Member HH,511,Upper
191,10540,"Albany, OR Metro","Income <$15,000",1 Member HH,2035,Lower
192,10540,"Albany, OR Metro","Income $100,000 - $124,999",2 Member HH,946,Upper
193,10540,"Albany, OR Metro","Income $125,000 - $149,999",2 Member HH,525,Upper
194,10540,"Albany, OR Metro","Income $15,000 - $24,999",2 Member HH,1811,Lower
195,10540,"Albany, OR Metro","Income $150,000 - $174,999",2 Member HH,442,Upper
