CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count
10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",5+ Member HH,978
10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",1 Member HH,15320
10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",2 Member HH,9113
10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",3 Member HH,2860
10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",4 Member HH,1376
10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",5+ Member HH,1589
10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",1 Member HH,3748
10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",2 Member HH,2911
10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",3 Member HH,1071
10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",4 Member HH,743
10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",5+ Member HH,1088
10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",1 Member HH,21962
10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",2 Member HH,14135
10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",3 Member HH,3719
10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",4 Member HH,1698
10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",5+ Member HH,1544
10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",1 Member HH,22311
10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",2 Member HH,22524
10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",3 Member HH,9888
10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",4 Member HH,5778
10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",5+ Member HH,7105
10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",1 Member HH,11725
10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",2 Member HH,15420
10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",3 Member HH,10075
10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",4 Member HH,7526
10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",5+ Member HH,10964
10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",1 Member HH,19280
10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",2 Member HH,10310
10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",3 Member HH,1874
10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",4 Member HH,873
10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",5+ Member HH,1049
10740,"Albuquerque, NM Metro","Income $100,000 - $124,999",1 Member HH,5203
10740,"Albuquerque, NM Metro","Income $100,000 - $124,999",2 Member HH,9654
10740,"Albuquerque, NM Metro","Income $100,000 - $124,999",3 Member HH,4768
10740,"Albuquerque, NM Metro","Income $100,000 - $124,999",4 Member HH,2964
10740,"Albuquerque, NM Metro","Income $100,000 - $124,999",5+ Member HH,4237
10740,"Albuquerque, NM Metro","Income $125,000 - $149,999",1 Member HH,3132
10740,"Albuquerque, NM Metro","Income $125,000 - $149,999",2 Member HH,5503
10740,"Albuquerque, NM Metro","Income $125,000 - $149,999",3 Member HH,2250
10740,"Albuquerque, NM Metro","Income $125,000 - $149,999",4 Member HH,1542
10740,"Albuquerque, NM Metro","Income $125,000 - $149,999",5+ Member HH,2079
10740,"Albuquerque, NM Metro","Income $15,000 - $24,999",1 Member HH,13201
10740,"Albuquerque, NM Metro","Income $15,000 - $24,999",2 Member HH,14375
10740,"Albuquerque, NM Metro","Income $15,000 - $24,999",3 Member HH,4135
10740,"Albuquerque, NM Metro","Income $15,000 - $24,999",4 Member HH,2179
10740,"Albuquerque, NM Metro","Income $15,000 - $24,999",5+ Member HH,2410
10740,"Albuquerque, NM Metro","Income $150,000 - $174,999",1 Member HH,2757
10740,"Albuquerque, NM Metro","Income $150,000 - $174,999",2 Member HH,3498
10740,"Albuquerque, NM Metro","Income $150,000 - $174,999",3 Member HH,1222
10740,"Albuquerque, NM Metro","Income $150,000 - $174,999",4 Member HH,774
10740,"Albuquerque, NM Metro","Income $150,000 - $174,999",5+ Member HH,878
10740,"Albuquerque, NM Metro","Income $175,000 - $199,999",1 Member HH,1167
10740,"Albuquerque, NM Metro","Income $175,000 - $199,999",2 Member HH,2030
10740,"Albuquerque, NM Metro","Income $175,000 - $199,999",3 Member HH,894
10740,"Albuquerque, NM Metro","Income $175,000 - $199,999",4 Member HH,615
10740,"Albuquerque, NM Metro","Income $175,000 - $199,999",5+ Member HH,709
10740,"Albuquerque, NM Metro","Income $200,000 - $249,999",1 Member HH,1208
10740,"Albuquerque, NM Metro","Income $200,000 - $249,999",2 Member HH,1862
10740,"Albuquerque, NM Metro","Income $200,000 - $249,999",3 Member HH,790
10740,"Albuquerque, NM Metro","Income $200,000 - $249,999",4 Member HH,430
10740,"Albuquerque, NM Metro","Income $200,000 - $249,999",5+ Member HH,606
10740,"Albuquerque, NM Metro","Income $25,000 - $34,999",1 Member HH,12000
10740,"Albuquerque, NM Metro","Income $25,000 - $34,999",2 Member HH,12664
10740,"Albuquerque, NM Metro","Income $25,000 - $34,999",3 Member HH,4004
10740,"Albuquerque, NM Metro","Income $25,000 - $34,999",4 Member HH,2069
10740,"Albuquerque, NM Metro","Income $25,000 - $34,999",5+ Member HH,2356
10740,"Albuquerque, NM Metro","Income $250,000+",1 Member HH,1772
10740,"Albuquerque, NM Metro","Income $250,000+",2 Member HH,2442
